"PLAYER","REASON","missed_games","salary_dollars_claimed","injuries_prior","played_games_prior","games_prior","total_miles_prior","total_minutes_prior","PERCENTAGE_MIN_prior","AVG_TRAVEL_MILES_prior","FGM_prior_sum","FGA_prior_sum","FG3M_prior_sum","FG3A_prior_sum","FTM_prior_sum","FTA_prior_sum","PF_prior_sum","PTS_prior_sum","STL_prior_sum","BLK_prior_sum","TO_prior_sum","OREB_prior_sum","DREB_prior_sum","AST_prior_sum","BLKA_prior_sum","PFD_prior_sum","POSS_prior_sum","SCREEN_ASSISTS_prior_sum","DEFLECTIONS_prior_sum","CHARGES_DRAWN_prior_sum","CONTESTED_SHOTS_2PT_prior_sum","CONTESTED_SHOTS_3PT_prior_sum","OFF_BOXOUTS_prior_sum","DEF_BOXOUTS_prior_sum","OFF_LOOSE_BALLS_RECOVERED_prior_sum","DEF_LOOSE_BALLS_RECOVERED_prior_sum","D_FGM_prior_sum","D_FGA_prior_sum","DRIVES_prior_sum","DIST_MILES_OFF_prior_sum","DIST_MILES_DEF_prior_sum","TOUCHES_prior_sum","PASSES_MADE_prior_sum","PASSES_RECEIVED_prior_sum","SECONDARY_AST_prior_sum","POTENTIAL_AST_prior_sum","FT_AST_prior_sum","OREB_CONTEST_prior_sum","OREB_CHANCES_prior_sum","DREB_CONTEST_prior_sum","DREB_CHANCES_prior_sum"
"Dalano Banton","Left Thumb Sprain",16,305076.682926829,2,27,62,11795.9696218943,250.75,0.193479938271605,693.880565993783,46,112,13,46,15,19,31,120,13,12,16,9,27,29,6,17,532,3,27,0,29,27,1,1,0,4,47,107,51,11.1,9.8,562,403,413,3,49,2,7,20,4,39
"Dalano Banton","Right Hip Pointer",10,190672.926829268,1,22,45,9997.00214133855,221.583333333333,0.209832702020202,714.071581524182,44,104,13,43,14,17,24,115,12,12,13,9,23,26,5,16,473,3,24,0,28,24,1,1,0,4,40,93,45,9.8,8.7,504,359,374,2,44,2,7,17,3,34
"Dalen Terry","Left Hip Soreness",3,118200,0,10,24,4572.51577732828,32.9833333333333,0.0687152777777777,653.216539618326,3,11,1,4,3,4,2,10,1,2,4,0,2,5,3,3,72,1,2,1,3,3,0,0,0,0,3,13,7,1.3,1.3,55,36,45,1,8,0,0,1,0,3
"Dalen Terry","Right Knee Soreness",9,354600,1,14,37,5892.71742114611,52.45,0.0780505952380952,654.746380127346,4,13,1,4,3,4,4,12,1,2,4,0,4,7,4,3,114,1,2,1,5,3,0,0,0,0,3,16,7,2,1.8,74,54,50,1,9,0,0,1,0,7
"Damian Jones","Right Great Toe Soreness",13,368876.604938271,0,18,38,7288.39184799319,166.516666666667,0.19272762345679,662.58107709029,20,36,0,3,15,20,15,55,3,11,8,18,35,4,6,19,365,18,9,0,49,12,3,10,2,2,40,93,3,6.7,6,198,138,92,3,11,1,10,37,10,59
"Damian Lillard","Left Ankle Sprain",0,0,4,28,40,17624.0831733012,998.65,0.743043154761905,839.242055871485,238,546,108,302,184,209,54,768,25,10,96,18,93,200,28,165,2071,5,39,3,39,42,0,4,10,8,146,299,413,40.3,30.4,2457,1631,2071,28,359,24,3,63,15,171
"Damian Lillard","Left Wrist Sprain",0,0,3,19,31,10579.8496192725,659.1,0.722697368421053,813.834586097881,161,354,86,213,130,145,35,538,16,4,68,11,61,133,19,115,1364,4,27,3,21,29,0,2,5,7,103,208,254,26.9,20.3,1625,1076,1371,15,239,15,2,35,7,111
"Damian Lillard","Right Calf Injury Management",1,524598.666666667,1,7,11,5257.18001504273,245.333333333333,0.73015873015873,876.196669173789,60,125,29,71,51,59,11,200,4,2,29,7,26,36,6,46,503,1,10,2,10,14,0,0,2,1,40,80,91,9.9,7.7,587,384,485,5,75,7,1,15,2,44
"Damian Lillard","Right Calf Strain",4,2098394.66666667,0,5,5,2623.64398431225,174.716666666667,0.727986111111111,655.910996078062,48,97,20,51,39,42,7,155,4,2,19,6,18,23,4,33,363,1,8,2,8,11,0,0,2,0,28,54,69,7.1,5.5,424,271,346,1,48,5,1,11,1,33
"Damian Lillard","Right Calf Tightness",10,5245986.66666667,5,29,41,17624.0831733012,1038.85,0.746300287356322,839.242055871485,254,574,113,315,197,224,55,818,26,10,97,18,95,203,28,173,2157,5,42,3,42,43,0,4,10,8,153,308,433,41.9,31.6,2559,1694,2164,30,367,24,3,64,16,175
"Damian Lillard","Right Soleus Strain",7,3672190.66666667,2,11,16,7331.05410807424,386.8,0.732575757575757,916.38176350928,84,199,37,111,84,96,18,289,6,3,42,10,37,77,11,75,792,1,17,2,14,22,0,0,4,4,65,128,159,15.7,12,940,617,786,9,134,8,2,22,4,70
"Daniel Gafford","Left Foot Soreness",1,23544.8902439024,1,73,75,33434.8849490841,1474.85,0.420904680365297,619.16453609415,255,349,0,0,111,169,169,621,31,92,74,146,242,76,22,152,3065,223,69,1,439,91,24,105,17,16,413,853,38,58.2,51.2,2065,1558,1045,3,102,3,113,334,76,507
"Daniel Gafford","Right Ankle Soreness",1,23544.8902439024,2,78,81,34931.5282893185,1604.26666666667,0.428490028490028,602.267729126181,289,395,0,0,127,187,187,705,33,99,85,163,270,84,28,169,3336,240,78,1,467,100,27,114,21,17,450,928,48,63.3,55.8,2279,1712,1161,4,113,3,127,367,87,560
"Daniel Gafford","Right Ankle Sprain",1,23544.8902439024,0,41,41,18937.1914946049,688.483333333333,0.349839092140921,631.239716486831,132,176,0,0,53,89,85,317,14,47,36,79,119,28,11,85,1456,98,34,0,237,51,14,52,7,9,199,421,13,27.3,24.7,967,703,456,1,42,3,63,166,40,247
"Daniel Theis","Right Knee Injury Management",1,106028.890243902,2,2,54,384.558290841323,22.55,0.234895833333333,384.558290841323,3,6,1,3,1,2,3,8,0,0,2,0,4,1,0,2,49,1,0,0,9,2,0,1,0,0,6,11,1,0.9,0.7,34,25,23,1,1,0,0,3,0,6
"Daniel Theis","Right Knee Soreness",52,5513502.2926829,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel Theis","Right Knee Surgery",0,0,1,0,52,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel Theis","Right Thumb Sprain",22,2332635.58536584,3,6,59,2929.16449542343,92.7333333333333,0.321990740740741,732.291123855858,18,37,1,8,4,10,6,41,1,4,2,4,13,6,2,9,197,9,4,0,21,7,0,5,0,0,26,46,5,3.5,3.1,139,95,105,1,9,0,4,17,5,26
"Danny Green","Left Knee Injury Management",1,148234.53164557,1,1,51,0,9.86666666666667,0.205555555555556,NA,1,4,1,4,0,0,2,3,1,0,1,1,3,1,0,0,21,0,0,0,0,0,0,0,0,1,0,2,0,0.4,0.4,17,13,10,0,2,0,0,2,2,3
"Danny Green","Left Knee Surgery Recovery",50,7411726.5822785,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darius Bazley","Right Ankle Sprain",7,373154.95,0,11,11,4172.16107043046,184.083333333333,0.348642676767677,521.520133803807,27,64,7,18,5,11,16,66,9,14,6,18,34,17,12,10,396,5,15,0,33,32,0,4,1,2,55,106,22,7.7,6.6,299,219,152,1,24,0,11,35,10,60
"Darius Garland","Left Eye Laceration",5,543950.853658535,0,1,1,189.31030105149,13.3,0.277083333333333,189.31030105149,2,8,0,1,0,0,1,4,2,1,5,0,1,3,1,2,31,0,0,0,0,1,0,0,0,1,2,4,10,0.5,0.5,37,21,32,0,5,0,0,1,0,1
"Darius Garland","Left Knee Sprain",1,108790.170731707,1,2,7,189.31030105149,55.65,0.5796875,189.31030105149,11,28,5,12,6,7,4,33,5,1,6,0,6,15,2,6,119,0,3,0,0,3,0,0,0,1,7,15,20,2.4,1.7,138,92,116,0,26,2,0,3,0,10
"Darius Garland","Left Lower Leg Contusion",2,217580.341463414,5,69,80,30014.8970242433,2447.13333333333,0.738868760064412,638.614830303048,522,1129,169,412,277,321,148,1490,85,9,199,28,157,538,54,298,4968,13,138,7,110,130,0,6,15,24,357,749,1175,100.4,80.7,5289,3610,4711,60,888,57,9,110,19,266
"Darius Garland","Right Quadricep Contusion",1,108790.170731707,4,58,68,26107.415942928,2041.93333333333,0.7334530651341,652.685398573201,441,936,153,356,239,278,127,1274,77,7,168,24,130,459,46,256,4146,8,114,7,91,110,0,6,14,21,299,635,992,84.1,67.3,4476,3061,3995,53,762,47,9,91,12,222
"Darius Garland","Right Thumb Soreness",1,108790.170731707,3,47,56,20239.2320054492,1661.26666666667,0.73637706855792,652.878451788682,356,772,122,294,202,233,95,1036,61,5,136,21,110,379,37,210,3374,7,91,6,77,94,0,5,11,18,242,516,820,68.8,54.2,3707,2532,3317,47,627,39,9,74,9,191
"Darius Garland","Right Thumb Sprain",3,326370.512195121,2,30,36,10027.5475361963,1077.85,0.748506944444444,589.855737423314,221,491,74,185,125,144,61,641,39,5,96,13,66,235,22,128,2192,1,54,2,53,72,0,3,8,9,155,340,525,44.6,35.4,2416,1659,2160,25,413,26,7,45,6,121
"Davion Mitchell","Left Knee Soreness",1,58946.3414634146,0,79,80,44419.5239331794,1419.4,0.374314345991561,906.520896595498,179,386,62,191,25,31,110,445,41,15,60,15,88,180,12,92,2980,7,68,15,114,109,0,12,8,15,270,572,362,58.8,52.8,2738,2206,2402,34,350,26,2,40,14,136
"Davis Bertans","Left Calf Strain",18,3512195.1216,1,34,53,15294.9810601,360.299999997,0.220772058821691,764.749053005,47,111,37,97,10,12,39,141,7,3,9,6,26,12,2,23,755,13,15,0,56,21,0,7,2,1,77,159,14,15.4,12.6,429,296,271,2,24,1,2,15,6,47
"Davis Bertans","Right Knee Effusion",16,3121951.2192,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Day'Ron Sharpe","Left Ankle Sprain",0,0,2,42,76,18619.3688538073,479.533333333333,0.237863756613757,744.774754152291,83,152,6,11,28,44,82,200,12,29,40,86,87,33,15,37,1025,82,23,0,133,44,23,25,7,5,133,276,11,19.8,17.1,794,580,416,1,55,3,65,175,30,167
"Day'Ron Sharpe","Lower Back Soreness",2,51450.731707317,0,23,46,13526.8233358672,193.216666666667,0.175015096618358,901.788222391147,30,57,4,5,14,21,36,78,3,13,17,27,43,15,6,14,426,41,12,0,58,13,5,6,3,2,55,110,2,8.1,6.9,308,226,149,0,21,1,21,63,19,68
"Day'Ron Sharpe","Right Foot Soreness",9,231528.292682926,1,29,54,13907.7411786441,281.133333333333,0.201963601532567,818.10242227318,44,84,4,5,15,23,53,107,5,15,25,46,56,20,9,16,610,49,14,0,77,27,12,16,4,3,80,161,6,11.6,10.1,460,343,240,0,35,1,38,95,23,106
"De'Aaron Fox","Left Ankle Soreness",1,370143.658536585,5,72,80,41520.461534832,2417.73333333333,0.699575617283951,922.676922996266,676,1321,118,364,343,440,172,1813,83,23,180,39,265,444,52,343,5199,13,196,5,131,227,1,6,31,17,471,963,1141,96.8,84.1,5666,3785,4849,32,844,47,11,114,43,407
"De'Aaron Fox","Left Hamstring Soreness",1,370143.658536585,3,57,63,31874.4919840117,1947.88333333333,0.711945662768031,937.485058353284,541,1051,88,270,285,361,141,1455,65,18,152,29,214,359,39,278,4199,9,151,5,106,178,1,4,25,14,380,763,915,77.7,68,4563,3045,3891,25,690,34,9,86,39,338
"De'Aaron Fox","Left Wrist Soreness",1,370143.658536585,2,55,60,30537.1552619278,1877.21666666667,0.711066919191919,925.368341270539,519,1007,87,263,272,346,135,1397,63,18,147,26,208,345,34,268,4051,9,146,5,104,174,1,4,23,13,365,735,876,74.9,65.6,4397,2940,3748,24,664,34,9,81,38,329
"De'Aaron Fox","Right Foot Soreness",2,740287.31707317,1,22,23,13969.1149912955,697.533333333333,0.660542929292929,931.274332753035,185,365,41,112,90,109,55,501,23,11,56,10,99,124,16,86,1523,6,57,1,46,62,1,2,7,6,127,275,302,28.1,24.3,1648,1127,1375,11,257,13,4,33,22,159
"De'Aaron Fox","Right Hamstring Soreness",1,370143.658536585,4,66,73,38228.1694601583,2228.06666666667,0.703303872053872,932.394377077032,621,1204,111,328,314,407,163,1667,77,21,170,34,241,400,46,315,4797,10,182,5,116,206,1,6,29,16,430,876,1036,89.1,77.4,5219,3488,4471,30,787,44,11,102,42,377
"De'Aaron Fox","Right Knee Bone Bruise",1,370143.658536585,0,6,6,2389.51083373421,184.583333333333,0.640914351851852,796.503611244737,57,104,12,31,21,25,20,147,5,4,23,5,31,29,3,23,396,3,21,0,13,22,0,0,3,2,34,68,99,7.4,6.6,478,330,394,6,74,5,2,12,3,45
"De'Andre Hunter","Asthma Symptoms",1,119949.768292683,4,39,48,17881.0760987837,1240.38333333333,0.662597934472934,662.26207773273,221,477,64,170,111,134,120,617,17,8,50,25,143,52,27,137,2659,20,63,4,118,123,0,22,9,8,228,503,227,48.1,41.2,1503,882,899,4,106,6,8,73,38,242
"De'Andre Hunter","Left Ankle Sprain",3,359849.304878049,3,28,33,10334.2495584637,859.7,0.639657738095238,574.124975470206,150,335,40,113,79,96,81,419,10,6,36,18,96,34,21,98,1835,10,38,3,83,97,0,18,7,6,149,339,174,33.4,28.7,1029,593,630,2,76,4,5,51,29,167
"De'Andre Hunter","Left Foot Soreness",0,0,0,19,20,6354.14877537348,606.566666666667,0.665095029239766,577.649888670316,105,241,26,77,57,70,59,293,7,3,26,14,67,20,14,77,1305,4,28,2,50,68,0,17,7,6,106,242,113,23.6,20.6,713,401,429,1,46,3,5,37,21,120
"De'Andre Hunter","Left Knee Bone Bruise Muscle Strain",0,0,9,65,80,29388.1769251649,2081.5,0.667147435897436,699.718498218212,368,802,98,279,167,203,195,1001,34,17,80,45,232,92,47,212,4457,30,90,4,174,202,1,30,14,11,385,833,367,80.7,69.3,2491,1454,1502,8,186,9,16,135,60,405
"De'Andre Hunter","Left Knee Contusion",1,119949.768292683,7,63,73,29388.1769251649,2009.96666666667,0.66467151675485,699.718498218212,357,770,97,269,166,202,188,977,32,17,79,43,223,90,44,209,4304,29,87,4,168,195,1,30,13,11,371,801,354,77.8,67,2402,1402,1448,8,178,9,16,129,56,391
"De'Andre Hunter","Left Knee Soreness",0,0,10,66,81,29388.1769251649,2108.93333333333,0.665698653198653,699.718498218212,374,813,99,283,168,204,198,1015,35,17,80,46,235,93,47,215,4518,31,92,4,174,203,1,30,14,12,389,838,372,81.7,70.3,2517,1468,1516,8,187,9,17,137,62,411
"De'Andre Hunter","Left Knee Swelling",4,479799.073170732,8,65,76,29388.1769251649,2081.5,0.667147435897436,699.718498218212,368,802,98,279,167,203,195,1001,34,17,80,45,232,92,47,212,4457,30,90,4,174,202,1,30,14,11,385,833,367,80.7,69.3,2491,1454,1502,8,186,9,16,135,60,405
"De'Andre Hunter","Right Ankle Soreness",0,0,5,48,58,24422.0914356027,1538.48333333333,0.667744502314815,697.774041017219,271,594,76,213,141,169,144,759,27,8,61,32,179,67,37,172,3290,23,77,4,135,149,0,24,9,11,291,626,279,59.7,51.2,1857,1081,1116,5,136,7,12,98,45,300
"De'Andre Hunter","Right Ankle Sprain",0,0,6,57,67,26180.3340803992,1814.35,0.663139619883041,688.956160010506,323,694,88,243,158,191,170,892,31,14,73,36,207,80,38,196,3877,25,84,4,154,169,1,28,11,11,329,718,325,70.1,60.5,2189,1283,1316,7,163,9,13,112,53,358
"De'Andre Hunter","Right Hip Flexor Soreness",0,0,1,20,21,7017.52422576571,640.583333333333,0.667274305555556,584.793685480476,112,252,28,79,59,73,62,311,7,3,28,14,70,23,15,79,1371,4,28,2,52,72,0,17,7,6,109,248,123,24.8,21.6,755,427,459,2,51,3,5,38,22,125
"De'Andre Hunter","Right Hip Flexor Strain",4,479799.073170732,2,21,22,7878.94514920258,647.833333333333,0.642691798941799,606.072703784814,113,253,28,79,59,73,63,313,7,3,28,14,70,23,15,79,1386,4,28,2,52,72,0,17,7,6,110,249,125,25.1,21.8,761,432,462,2,52,3,5,38,22,125
"De'Anthony Melton","Back Left-Sided Stiffness",1,100609.756097561,2,11,12,2583.10731128781,272.166666666667,0.515467171717171,430.517885214634,39,92,16,47,5,7,18,99,19,5,10,12,33,30,5,6,565,3,41,0,20,21,0,3,3,2,56,112,48,11.4,9.2,481,366,301,2,61,3,8,23,11,48
"De'Anthony Melton","Back Tightness",1,100609.756097561,3,24,26,7168.86592890041,706.1,0.612934027777778,551.451225300032,106,249,56,142,17,25,51,285,53,11,43,26,80,78,11,23,1444,12,93,0,39,52,0,7,12,9,150,291,145,29.4,23.9,1404,1064,952,8,160,11,15,52,19,125
"De'Anthony Melton","Left Low Back Stiffness",1,100609.756097561,1,8,8,1919.73186089557,179.6,0.467708333333333,383.946372179115,31,60,11,27,3,3,11,76,16,1,3,2,21,18,2,3,370,3,33,0,11,18,0,2,1,2,36,70,30,7.6,6.2,296,227,176,2,34,2,2,7,8,33
"De'Anthony Melton","Right Adductor Tightness",0,0,0,4,4,546.997448503532,72.7166666666667,0.378732638888889,273.498724251766,9,20,4,10,3,3,5,25,5,0,0,0,10,2,2,3,150,1,9,0,6,7,0,1,0,1,16,30,9,2.9,2.6,104,80,54,1,10,2,0,2,2,16
"De'Anthony Melton","Right Calf Tightness",2,201219.512195122,4,76,79,34382.7506055188,2128.58333333333,0.583493238304094,716.307304281641,276,646,156,398,69,87,190,777,126,40,102,69,239,195,25,75,4332,22,233,0,149,151,1,22,28,24,462,926,329,85,74.2,3638,2759,2359,32,366,27,35,157,55,397
"DeMar DeRozan","Right Hip Soreness",1,337037.037037037,1,49,52,24537.6889177785,1775.88333333333,0.755052437641723,681.602469938293,456,894,25,76,332,375,133,1269,49,25,104,22,209,247,44,281,3735,8,84,9,113,130,1,21,15,17,277,569,601,65.4,55.9,2998,1739,2575,61,471,20,9,100,37,339
"DeMar DeRozan","Right Quadricep Strain",6,2022222.22222222,0,41,41,22253.0322749786,1477.73333333333,0.750880758807588,717.83975080576,381,753,16,59,291,328,109,1069,41,19,80,20,186,201,38,246,3106,6,73,7,98,102,0,18,12,16,237,463,517,54.5,46.7,2557,1493,2181,51,396,18,8,92,33,294
"Dean Wade","Left Shoulder Sprain",30,706346.707317072,1,17,23,5454.50942917354,409.3,0.501593137254902,454.542452431128,38,84,23,56,9,13,42,108,12,6,7,10,59,17,5,17,828,2,21,1,57,27,0,13,3,5,62,133,34,15.8,14.3,432,326,232,3,33,0,6,28,11,98
"Dean Wade","Right Knee Soreness",6,141269.341463414,0,11,11,4470.84418798347,250.85,0.475094696969697,558.855523497934,27,51,18,36,8,11,27,80,6,4,4,5,31,11,1,11,519,1,14,0,30,19,0,8,2,3,30,72,19,9.8,8.8,255,195,138,2,23,0,3,15,4,46
"Deandre Ayton","Left Ankle Sprain",6,2261981.70731707,0,5,5,2192.88442514996,130.416666666667,0.543402777777778,730.961475049988,34,62,1,3,8,11,19,77,3,2,13,10,31,10,1,11,269,14,7,0,27,14,0,9,0,3,26,54,2,5,4.1,228,147,111,0,10,0,8,19,10,43
"Deandre Ayton","Right Hip Contusion",4,1507987.80487805,2,61,70,35845.7405732146,1857,0.63422131147541,853.470013647968,487,827,7,24,136,181,173,1117,34,47,111,161,458,111,35,152,3820,276,70,0,453,129,18,72,15,11,433,909,25,68.7,58.8,3215,2151,1663,9,158,6,110,314,132,690
"Deandre Ayton","Right Knee Contusion",0,0,1,55,64,32854.7776714058,1666.58333333333,0.631281565656566,864.599412405417,442,747,7,23,124,167,158,1015,31,42,102,151,405,108,32,142,3420,246,66,0,410,103,16,65,13,11,394,819,24,61.8,52.7,2918,1951,1529,8,151,6,103,280,115,615
"Dejounte Murray","Left Ankle Soreness",1,208184.390243902,1,74,81,32791.4870925841,2693.4,0.758277027027027,683.155981095503,612,1319,133,387,158,190,106,1515,112,19,160,53,336,448,57,156,5705,11,232,0,145,112,1,8,27,32,458,904,898,108.4,89.4,5371,3631,4314,37,780,36,20,148,73,569
"Dejounte Murray","Left Ankle Sprain",5,1040921.95121951,0,25,25,9584.68091627521,889.683333333334,0.741402777777778,599.042557267201,205,454,53,145,56,67,42,519,44,11,64,19,117,156,17,61,1881,3,89,0,52,48,1,5,14,9,153,304,300,36.2,29.8,1786,1168,1447,8,286,14,8,49,30,187
"Delon Wright","Right Hamstring Strain",29,2760261.73170732,0,4,4,1593.59366848393,90.7500000000001,0.47265625,398.398417120982,10,24,3,12,3,5,5,26,11,4,4,4,6,13,1,8,190,0,16,0,20,7,1,2,1,0,22,54,21,3.8,3.2,198,163,161,1,24,0,2,6,1,20
"Delon Wright","Right Knee Soreness",1,95181.4390243902,1,50,81,24308.4404827189,1221.16666666667,0.508819444444444,639.695802176813,138,291,41,119,52,60,59,369,92,17,44,58,122,194,14,81,2525,17,162,3,80,56,2,12,17,15,260,527,295,50.8,41.4,2374,1946,1853,18,368,17,31,100,14,199
"Deni Avdija","Back Lower Soreness",1,59953.1707317073,2,32,33,11815.1782741246,834.883333333333,0.543543836805556,513.703403222811,94,226,29,98,43,54,100,260,26,21,44,27,150,87,19,45,1737,14,44,0,118,72,0,5,7,9,200,432,118,33,29.3,1374,1044,797,16,166,15,20,71,24,253
"Deni Avdija","Left Elbow Bursitis",4,239812.682926829,3,76,78,33454.8485883297,2020.4,0.553837719298246,608.269974333267,253,579,69,232,122,165,209,697,65,29,123,74,413,211,36,136,4192,25,95,0,261,154,3,17,27,24,475,981,368,82,69,3406,2521,1996,29,377,25,47,197,85,656
"Deni Avdija","Lower Back Soreness",1,59953.1707317073,1,32,32,11815.1782741246,834.883333333333,0.543543836805556,513.703403222811,94,226,29,98,43,54,100,260,26,21,44,27,150,87,19,45,1737,14,44,0,118,72,0,5,7,9,200,432,118,33,29.3,1374,1044,797,16,166,15,20,71,24,253
"Deni Avdija","Right Ankle Right ankle sprain",0,0,0,1,1,491.896862359767,7.66666666666667,0.159722222222222,491.896862359767,1,1,0,0,2,2,0,4,0,0,0,0,0,0,0,1,19,0,0,0,2,1,0,0,0,0,2,7,1,0.3,0.3,7,5,4,0,1,0,0,0,0,0
"Derrick Rose","Contused Left Knee",37,6552036.70731708,2,26,37,12306.8739127911,335.516666666667,0.268843482905983,647.730205936376,61,155,19,60,11,12,18,152,7,5,22,8,32,46,13,13,723,3,14,0,31,24,0,2,3,6,58,136,123,13.8,12,718,512,602,4,80,3,3,17,5,51
"Derrick Rose","Sore Right Toe",10,1770820.73170732,0,17,17,9533.43432341888,224.516666666667,0.275142973856209,680.95959452992,45,109,16,43,10,10,10,116,5,5,16,7,23,36,12,10,482,3,6,0,24,16,0,1,2,4,38,95,84,9.1,8,489,342,408,3,53,1,3,15,2,36
"Derrick Rose","Sore Tight Toe",1,177082.073170732,1,17,18,9533.43432341888,224.516666666667,0.275142973856209,680.95959452992,45,109,16,43,10,10,10,116,5,5,16,7,23,36,12,10,482,3,6,0,24,16,0,1,2,4,38,95,84,9.1,8,489,342,408,3,53,1,3,15,2,36
"Derrick White","Left Ankle Sprain",0,0,3,80,80,41871.323459806,2286.28333333333,0.595386284722222,761.296790178291,345,749,148,387,164,187,176,1002,53,76,88,51,236,310,34,199,4741,32,128,13,331,169,0,15,12,20,446,1003,488,89.8,76.3,3829,2823,2918,44,519,18,23,117,52,415
"Derrick White","Left Neck Sprain",0,0,0,44,44,22164.6952710944,1147.36666666667,0.543260732323232,791.596259681942,148,329,67,178,71,83,101,434,33,41,46,26,111,145,15,94,2408,19,74,9,190,85,0,8,5,10,232,516,207,45.3,39.8,1779,1334,1320,17,235,8,11,52,29,192
"Derrick White","Right Ankle Sprain",0,0,2,61,61,30153.0947654126,1686.45,0.575973360655738,773.156276036221,251,549,111,284,116,135,132,729,44,55,65,34,166,233,29,150,3497,26,96,11,250,120,0,10,8,16,329,746,360,66.6,56.9,2824,2093,2161,28,373,11,14,81,40,293
"Derrick White","Right Ear Pain",0,0,1,58,58,27908.3166331636,1609.58333333333,0.578154932950192,775.231017587879,235,517,104,269,109,126,129,683,42,53,63,31,161,223,26,143,3341,25,94,11,241,117,0,10,8,14,313,707,342,63.7,54.4,2706,2014,2074,26,353,11,13,74,40,279
"Desmond Bane","Left Knee Soreness",1,25978.5365853659,8,58,81,31768.6535532706,1841.41666666667,0.661428400383142,756.396513173111,450,939,166,407,181,205,150,1247,56,22,126,43,248,254,73,149,3962,25,106,0,123,165,1,9,12,16,289,667,515,75.3,63,3699,2457,2820,52,445,25,13,134,59,393
"Desmond Bane","Right Ankle Soreness",1,25978.5365853659,0,6,6,3410.7694898208,197.8,0.686805555555556,682.15389796416,49,111,25,56,22,26,16,145,5,3,13,3,25,30,10,24,423,1,17,0,13,24,0,0,0,3,35,75,51,8.4,6.5,406,254,318,6,55,4,1,16,2,41
"Desmond Bane","Right Big Toe Injury",1,25978.5365853659,5,17,36,11821.0533905322,535.183333333334,0.655861928104575,844.360956466589,122,283,52,134,74,80,46,370,11,5,34,9,70,63,25,56,1142,5,35,0,43,53,0,1,5,5,85,194,142,22.3,17.6,1080,692,821,11,116,5,4,39,14,105
"Desmond Bane","Right Big Toe Injury Management",1,25978.5365853659,4,17,35,11821.0533905322,535.183333333334,0.655861928104575,844.360956466589,122,283,52,134,74,80,46,370,11,5,34,9,70,63,25,56,1142,5,35,0,43,53,0,1,5,5,85,194,142,22.3,17.6,1080,692,821,11,116,5,4,39,14,105
"Desmond Bane","Right Big Toe Sprain",0,0,3,12,30,7149.8119161596,402.45,0.698697916666667,794.423546239956,99,213,46,102,52,57,29,296,7,3,27,6,53,57,19,46,850,4,26,0,30,43,0,1,4,4,67,147,104,17,13.1,842,542,640,10,99,4,2,29,9,82
"Desmond Bane","Right Foot Soreness",1,25978.5365853659,7,53,75,29529.7356611744,1659.48333333333,0.652312631027254,777.098306873012,406,854,151,370,171,193,133,1134,52,20,117,39,225,225,64,140,3570,20,100,0,114,146,1,8,12,16,260,602,470,68.1,56.8,3334,2196,2535,44,401,24,12,120,49,355
"Desmond Bane","Right Knee Soreness",2,51957.0731707318,6,28,48,16463.3349733294,869.533333333334,0.646974206349207,748.333407878611,210,459,85,201,100,112,68,605,23,8,62,18,124,117,37,80,1892,9,58,0,62,73,0,5,7,9,138,308,238,35.9,29.5,1714,1094,1288,18,209,12,5,68,27,184
"Desmond Bane","Right Toe Soreness",1,25978.5365853659,1,12,13,7149.8119161596,402.45,0.698697916666667,794.423546239956,99,213,46,102,52,57,29,296,7,3,27,6,53,57,19,46,850,4,26,0,30,43,0,1,4,4,67,147,104,17,13.1,842,542,640,10,99,4,2,29,9,82
"Desmond Bane","Right Toe Sprain",16,415656.585365854,2,12,14,7149.8119161596,402.45,0.698697916666667,794.423546239956,99,213,46,102,52,57,29,296,7,3,27,6,53,57,19,46,850,4,26,0,30,43,0,1,4,4,67,147,104,17,13.1,842,542,640,10,99,4,2,29,9,82
"Devin Booker","Groin Soreness",3,1237807.31707317,1,28,30,16064.8954194589,997.4,0.742113095238095,892.49418996994,282,591,67,181,153,180,77,784,26,11,70,23,111,161,25,150,2049,7,63,0,66,67,1,9,12,10,165,369,374,39.2,30.9,1838,1018,1592,33,330,12,10,60,11,169
"Devin Booker","Left Groin Injury management",1,412602.43902439,3,30,56,17134.1891645751,1027.31666666667,0.713414351851852,856.709458228756,289,608,69,189,158,187,82,805,26,11,72,23,115,167,25,156,2112,8,66,0,67,67,1,9,12,11,170,378,379,40.4,31.8,1899,1054,1647,33,341,12,10,60,11,174
